VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
05-09,NA,NA,NA,NA,NA,NA,1,1,CAMAS
05-11,NA,NA,NA,NA,NA,NA,NA,16,BRUR
05-14,NA,NA,80,NA,NA,NA,NA,NA,FROG
05-13,NA,NA,NA,6,NA,NA,NA,10,CAMAS
05-15,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
05-17,NA,NA,66,NA,NA,NA,NA,1,FROG
05-21,NA,1,7,14,NA,NA,NA,1,FRY
05-20,NA,NA,NA,NA,NA,NA,NA,1,JACK
05-19,NA,NA,NA,NA,NA,NA,NA,NA,DRY
05-22,NA,NA,1,NA,NA,NA,NA,NA,FROG
05-32,NA,NA,NA,NA,NA,NA,NA,NA,FRY
05-31,NA,NA,NA,NA,NA,1,NA,NA,JACK
05-30,NA,NA,NA,NA,NA,NA,NA,NA,DRY
05-34,NA,NA,NA,NA,NA,NA,NA,NA,FROG
05-37,NA,NA,6,NA,NA,NA,NA,NA,BRUR
05-42,NA,NA,NA,NA,NA,6,NA,NA,JACK
05-53,NA,NA,NA,NA,NA,NA,NA,NA,FRY
05-52,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
05-56,NA,NA,NA,NA,NA,NA,NA,NA,FRY
05-55,NA,NA,NA,NA,NA,NA,NA,NA,JACK
06-08,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
06-10,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
06-14,NA,NA,NA,5,NA,NA,NA,17,CAMAS
06-15,NA,NA,NA,NA,1,NA,NA,2,BRUR
06-16,NA,NA,1,NA,NA,NA,NA,NA,BRUR
06-17,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
06-19,NA,NA,NA,6,NA,NA,NA,NA,WEENS
06-24,1,NA,NA,5,NA,4,NA,2,WEENS
06-22,NA,NA,4,NA,NA,NA,NA,16,FROG
06-25,NA,1,11,NA,NA,NA,NA,8,FROG
06-27,NA,NA,24,NA,NA,NA,NA,NA,BRUR
06-28,NA,NA,36,NA,NA,NA,NA,NA,FROG
06-30,NA,NA,NA,NA,NA,NA,NA,NA,DRY
06-31,NA,NA,10,NA,NA,NA,NA,NA,FROG
06-39,NA,NA,NA,NA,NA,NA,NA,NA,JACK
06-38,NA,NA,NA,NA,NA,NA,NA,NA,DRY
